,time_,x_flow_1,x_flow_2,x_flow_3,y_flow_1,y_flow_2,y_flow_3,y_flow_4,P_O2,P_CO2,P_N2,P_GM,P_1,P_2,P_3,P_4,temp,temp_ref
0,2,3608.0,380.0,15996.0,0.0,0.0,0.0,0.0,3.99,3.74,3.79,0.02,-0.0,-0.0,-0.0,0.0,19.95,37.0
1,2,3618.0,378.0,15998.0,0.0,0.0,0.0,0.0,3.99,3.74,3.79,0.03,-0.0,-0.0,-0.0,-0.0,19.99,37.0
2,3,3618.0,378.0,15998.0,0.0,0.0,0.0,0.0,3.99,3.74,3.78,0.04,-0.0,0.0,-0.0,-0.0,19.99,37.0
3,3,3616.0,378.0,15998.0,0.0,0.0,0.0,0.0,3.99,3.74,3.79,0.05,-0.0,-0.01,-0.01,-0.0,19.99,37.0
4,3,3616.0,378.0,15998.0,0.0,0.0,0.0,0.0,3.99,3.74,3.79,0.06,-0.0,-0.01,-0.01,-0.0,19.99,37.0
5,4,3616.0,378.0,15998.0,0.0,0.0,0.0,0.0,3.99,3.74,3.78,0.07,-0.0,-0.01,-0.01,-0.0,19.99,37.0
6,4,3616.0,378.0,15998.0,0.0,0.0,0.0,0.0,3.98,3.74,3.79,0.08,-0.0,-0.01,-0.01,-0.0,19.99,37.0
7,4,3620.0,378.0,16000.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.09,-0.0,-0.01,-0.01,-0.0,20.02,37.0
8,5,3620.0,378.0,16000.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.1,-0.0,0.0,-0.0,0.0,20.02,37.0
9,5,3610.0,380.0,16012.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.12,-0.0,0.0,-0.0,0.0,20.02,37.0
10,6,3610.0,380.0,16012.0,0.0,0.0,0.0,0.0,3.98,3.73,3.78,0.13,-0.0,0.0,-0.0,0.0,20.05,37.0
11,6,3610.0,380.0,16012.0,0.0,0.0,0.0,0.0,3.98,3.73,3.78,0.14,-0.0,0.0,-0.0,0.0,20.05,37.0
12,6,3610.0,380.0,16012.0,0.0,0.0,0.0,0.0,3.99,3.74,3.78,0.15,0.0,0.0,-0.01,-0.0,20.08,37.0
13,7,3618.0,380.0,15998.0,0.0,0.0,0.0,0.0,3.98,3.74,3.79,0.16,-0.0,0.0,-0.01,-0.0,20.08,37.0
14,7,3618.0,380.0,15998.0,0.0,0.0,0.0,0.0,3.98,3.74,3.79,0.17,-0.0,0.0,-0.01,-0.0,20.08,37.0
15,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.74,3.79,0.18,-0.0,-0.0,-0.01,-0.0,20.08,37.0
16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.19,-0.01,-0.0,-0.01,-0.0,20.11,37.0
17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.2,-0.01,-0.0,-0.01,-0.0,20.14,37.0
18,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.21,-0.01,-0.0,-0.01,-0.0,20.11,37.0
19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.22,-0.01,-0.0,-0.01,-0.0,20.14,37.0
20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.79,0.23,-0.02,-0.0,-0.01,-0.0,20.14,37.0
21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.8,0.24,-0.01,-0.0,-0.01,-0.01,20.14,37.0
22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.8,0.25,-0.01,-0.0,-0.01,-0.0,20.17,37.0
23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.8,0.26,-0.01,-0.0,-0.01,-0.0,20.21,37.0
24,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.8,0.27,-0.01,-0.0,-0.01,-0.0,20.24,37.0
25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.8,0.28,-0.0,-0.0,-0.01,-0.0,20.21,37.0
26,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.74,3.8,0.29,-0.0,-0.0,-0.01,-0.0,20.24,37.0
27,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.8,0.3,-0.0,-0.0,-0.01,-0.0,20.24,37.0
28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.8,0.31,-0.0,-0.0,-0.01,-0.0,20.24,37.0
29,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.81,0.32,-0.0,-0.0,-0.01,-0.0,20.27,37.0
30,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.81,0.33,-0.0,-0.0,-0.01,-0.0,20.3,37.0
31,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.81,0.34,-0.0,-0.0,-0.01,-0.0,20.27,37.0
32,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.81,0.35,-0.0,-0.0,-0.01,-0.0,20.33,37.0
33,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.81,0.36,-0.0,-0.0,0.0,-0.0,20.36,37.0
34,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,3.73,3.81,0.37,-0.0,-0.0,0.0,-0.0,20.33,37.0
35,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.81,0.38,-0.0,-0.0,0.0,-0.0,20.36,37.0
36,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.81,0.39,-0.0,-0.0,0.0,-0.0,20.36,37.0
37,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.73,3.81,0.4,-0.0,-0.0,0.0,-0.0,20.39,37.0
38,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.41,-0.0,-0.0,-0.01,-0.0,20.39,37.0
39,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.42,-0.0,-0.0,-0.01,-0.0,20.39,37.0
40,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.43,-0.0,-0.0,-0.01,-0.0,20.39,37.0
41,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.44,-0.0,-0.0,-0.01,-0.0,20.46,37.0
42,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.45,-0.0,-0.0,-0.01,-0.0,20.43,37.0
43,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.46,-0.0,-0.0,-0.01,-0.01,20.46,37.0
44,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.47,-0.0,-0.0,-0.01,-0.0,20.46,37.0
45,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.48,-0.01,-0.0,-0.01,-0.01,20.49,37.0
46,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.8,0.49,-0.01,-0.0,-0.01,0.0,20.46,37.0
47,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.8,0.5,-0.01,-0.0,-0.01,0.0,20.52,37.0
48,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.8,0.51,-0.01,-0.0,-0.01,0.0,20.52,37.0
49,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.52,-0.01,-0.0,-0.01,0.0,20.55,37.0
50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.73,3.81,0.53,-0.01,-0.0,-0.01,-0.0,20.55,37.0
51,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.54,-0.0,-0.0,-0.01,-0.01,20.58,37.0
52,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.55,-0.0,-0.0,-0.01,-0.01,20.61,37.0
53,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.56,-0.0,-0.0,-0.01,-0.01,20.61,37.0
54,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.57,-0.0,-0.0,-0.01,-0.01,20.65,37.0
55,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.58,0.0,-0.0,-0.01,-0.0,20.65,37.0
56,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.59,-0.0,-0.0,-0.01,-0.0,20.65,37.0
57,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.6,-0.0,-0.0,-0.01,-0.0,20.68,37.0
58,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,3.73,3.81,0.61,-0.0,-0.0,-0.01,-0.0,20.71,37.0
